 MRA_Host1 , ID: 0 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host2 , ID: 1 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host3 , ID: 2 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host4 , ID: 3 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host5 , ID: 4 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host6 , ID: 5 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host7 , ID: 6 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host8 , ID: 7 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host9 , ID: 8 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host10 , ID: 9 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host11 , ID: 10 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host12 , ID: 11 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host13 , ID: 12 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host14 , ID: 13 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host15 , ID: 14 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host16 , ID: 15 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host17 , ID: 16 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host18 , ID: 17 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host19 , ID: 18 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host20 , ID: 19 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host21 , ID: 20 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host22 , ID: 21 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host23 , ID: 22 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host24 , ID: 23 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host25 , ID: 24 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host26 , ID: 25 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host27 , ID: 26 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host28 , ID: 27 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host29 , ID: 28 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host30 , ID: 29 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host31 , ID: 30 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host32 , ID: 31 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host33 , ID: 32 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host34 , ID: 33 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host35 , ID: 34 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host36 , ID: 35 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host37 , ID: 36 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host38 , ID: 37 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host39 , ID: 38 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host40 , ID: 39 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host41 , ID: 40 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host42 , ID: 41 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host43 , ID: 42 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host44 , ID: 43 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host45 , ID: 44 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host46 , ID: 45 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host47 , ID: 46 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host48 , ID: 47 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host49 , ID: 48 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host50 , ID: 49 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host51 , ID: 50 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host52 , ID: 51 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host53 , ID: 52 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host54 , ID: 53 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host55 , ID: 54 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host56 , ID: 55 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host57 , ID: 56 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host58 , ID: 57 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host59 , ID: 58 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host60 , ID: 59 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host61 , ID: 60 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host62 , ID: 61 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host63 , ID: 62 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host64 , ID: 63 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host65 , ID: 64 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host66 , ID: 65 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
