worker 000000 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000001 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000002 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000003 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000004 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000005 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000006 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000007 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000008 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000009 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000010 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000011 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000012 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000013 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000014 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000015 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000016 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000017 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000018 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000019 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000020 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000021 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000022 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000023 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000024 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000025 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000026 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000027 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000028 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000029 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000030 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000031 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000032 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000033 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000034 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000035 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000036 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000037 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000038 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000039 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000040 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000041 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000042 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000043 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000044 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000045 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000046 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000047 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000048 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000049 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000050 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000051 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000052 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000053 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000054 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000055 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000056 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
 worker 000057 | 0000000000000000000000000000000000000000000000000000000000000000 | chunks owned: 0 | Dist Bruta: 0 
