mra_phase,task_id,worker_id,time,action,shuffle_mra_end
0_0_0,MRA_MAP,2,0.004,START,
0_1_0,MRA_MAP,3,0.007,START,
0_2_0,MRA_MAP,6,0.012,START,
0_5_0,MRA_MAP,7,0.014,START,
0_7_0,MRA_MAP,8,0.017,START,
0_9_0,MRA_MAP,9,0.020,START,
0_11_0,MRA_MAP,10,0.022,START,
0_8_0,MRA_MAP,11,0.025,START,
0_14_0,MRA_MAP,12,0.027,START,
0_13_0,MRA_MAP,14,0.031,START,
0_17_0,MRA_MAP,16,0.035,START,
0_19_0,MRA_MAP,18,0.039,START,
0_20_0,MRA_MAP,19,0.042,START,
0_22_0,MRA_MAP,20,0.044,START,
0_6_0,MRA_MAP,21,0.047,START,
0_25_0,MRA_MAP,22,0.049,START,
0_26_0,MRA_MAP,23,0.052,START,
0_28_0,MRA_MAP,24,0.055,START,
0_30_0,MRA_MAP,27,0.060,START,
0_32_0,MRA_MAP,29,0.064,START,
0_33_0,MRA_MAP,32,0.069,START,
0_34_0,MRA_MAP,33,0.072,START,
0_4_0,MRA_MAP,34,0.074,START,
0_37_0,MRA_MAP,37,0.079,START,
0_3_0,MRA_MAP,38,0.082,START,
0_39_0,MRA_MAP,39,0.085,START,
0_41_0,MRA_MAP,40,0.087,START,
0_21_0,MRA_MAP,42,0.091,START,
0_44_0,MRA_MAP,43,0.094,START,
0_45_0,MRA_MAP,44,0.096,START,
0_18_0,MRA_MAP,45,0.099,START,
0_48_0,MRA_MAP,48,0.104,START,
0_50_0,MRA_MAP,49,0.107,START,
0_23_0,MRA_MAP,50,0.109,START,
0_54_0,MRA_MAP,51,0.112,START,
0_56_0,MRA_MAP,54,0.117,START,
0_12_0,MRA_MAP,56,0.121,START,
0_10_0,MRA_MAP,57,0.124,START,
0_62_0,MRA_MAP,58,0.126,START,
0_31_0,MRA_MAP,60,0.130,START,
0_53_0,MRA_MAP,61,0.133,START,
0_38_0,MRA_MAP,62,0.135,START,
0_15_0,MRA_MAP,2,3.005,START,
1_0_0,MRA_REDUCE,2,3.007,START,
1_1_0,MRA_REDUCE,3,3.009,START,
0_35_0,MRA_MAP,6,3.014,START,
1_2_0,MRA_REDUCE,6,3.016,START,
1_3_0,MRA_REDUCE,7,3.018,START,
0_24_0,MRA_MAP,8,3.022,START,
1_4_0,MRA_REDUCE,8,3.023,START,
0_36_0,MRA_MAP,9,3.026,START,
1_5_0,MRA_REDUCE,9,3.027,START,
0_47_0,MRA_MAP,10,3.030,START,
1_6_0,MRA_REDUCE,10,3.031,START,
0_42_0,MRA_MAP,11,3.035,START,
1_7_0,MRA_REDUCE,11,3.036,START,
0_27_0,MRA_MAP,12,3.039,START,
1_8_0,MRA_REDUCE,12,3.040,START,
0_16_0,MRA_MAP,14,3.046,START,
1_9_0,MRA_REDUCE,14,3.047,START,
1_10_0,MRA_REDUCE,16,3.052,START,
0_60_0,MRA_MAP,18,3.057,START,
1_11_0,MRA_REDUCE,18,3.059,START,
0_43_0,MRA_MAP,19,3.062,START,
1_12_0,MRA_REDUCE,19,3.064,START,
1_13_0,MRA_REDUCE,20,3.066,START,
1_14_0,MRA_REDUCE,21,3.069,START,
0_29_0,MRA_MAP,22,3.073,START,
1_15_0,MRA_REDUCE,22,3.074,START,
0_64_0,MRA_MAP,23,3.077,START,
1_16_0,MRA_REDUCE,23,3.078,START,
0_52_0,MRA_MAP,24,3.081,START,
1_17_0,MRA_REDUCE,24,3.082,START,
1_18_0,MRA_REDUCE,27,3.088,START,
1_19_0,MRA_REDUCE,29,3.092,START,
0_46_0,MRA_MAP,32,3.099,START,
1_20_0,MRA_REDUCE,32,3.100,START,
0_61_0,MRA_MAP,33,3.103,START,
1_21_0,MRA_REDUCE,33,3.104,START,
1_22_0,MRA_REDUCE,34,3.107,START,
1_23_0,MRA_REDUCE,37,3.114,START,
1_24_0,MRA_REDUCE,38,3.117,START,
0_40_0,MRA_MAP,39,3.121,START,
1_25_0,MRA_REDUCE,39,3.122,START,
