 MRA_Host1 , ID: 0 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 1 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host2 , ID: 1 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 2 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host3 , ID: 2 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 3 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host4 , ID: 3 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 4 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host5 , ID: 4 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 5 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host6 , ID: 5 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 6 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host7 , ID: 6 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 7 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host8 , ID: 7 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 8 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host9 , ID: 8 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 9 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host10 , ID: 9 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 10 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host11 , ID: 10 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 11 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host12 , ID: 11 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 12 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host13 , ID: 12 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 13 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host14 , ID: 13 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 14 	 Pre_ex: 208 	 Tem_Cor: 624
